lastmajorreleaseaccession	name	taxon_id	species	speciesname	assemblyname	genbank_id	refseq_cat	refseq_id	assembly_status	release_date	assembly_type	contig_n50	scaffold_n50	annotation	stats	gff	ftps	number_of_genes	total_length	gc_content	nb_assemblies	chr_avail	proportion_masked	Complete	Single	Duplicated	Framgented	Missing
GCA_029890345.1	16508171	1768100	Natrix helvetica helvetica (snakes)	Natrix helvetica	ASM2989034v1	GCA_029890345.1	na		Contig	2023/04/27 00:00	haploid	4622328		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/890/345/GCA_029890345.1_ASM2989034v1/GCA_029890345.1_ASM2989034v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/890/345/GCA_029890345.1_ASM2989034v1				2	Yes	NA	NA	NA	NA	NA	NA
GCA_029891615.1	16513901	2563697	Natrix natrix natrix (European grass snake)	Natrix natrix	ASM2989161v1	GCA_029891615.1	reference genome		Scaffold	2023/04/28 00:00	haploid	1528028	1579101	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/891/615/GCA_029891615.1_ASM2989161v1/GCA_029891615.1_ASM2989161v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/891/615/GCA_029891615.1_ASM2989161v1		1733453643	41.5	1	No	43.73	91.3	89.5	1.8	2.3	6.4
GCA_029931755.1	16529471	460621	Euleptes europaea (tarantolino)	Euleptes europaea	rEulEur1.hap2	GCA_029931755.1	na		Scaffold	2023/05/03 00:00	haploid (haplotype 2)	31964801		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/931/755/GCA_029931755.1_rEulEur1.hap2/GCA_029931755.1_rEulEur1.hap2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/931/755/GCA_029931755.1_rEulEur1.hap2				1	Yes	NA	NA	NA	NA	NA	NA
GCA_030015325.1	16599261	2509230	Cryptoblepharus egeriae (lizards & snakes)	Cryptoblepharus egeriae	rCryege1_pri_20221122	GCA_030015325.1	reference genome		Contig	2023/05/16 00:00	haploid	109130949	NA	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/015/325/GCA_030015325.1_rCryege1_pri_20221122/GCA_030015325.1_rCryege1_pri_20221122_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/015/325/GCA_030015325.1_rCryege1_pri_20221122		1409969067	42.5	1	No	37.14	95.9	94.10000000000001	1.8	1.1	3
GCA_030035715.1	16628661	261503	Rhineura floridana (Florida worm lizard)	Rhineura floridana	rRhiFlo1.hap1	GCA_030035715.1	na		Scaffold	2023/05/16 00:00	haploid (haplotype 1)	16490926		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/035/715/GCA_030035715.1_rRhiFlo1.hap1/GCA_030035715.1_rRhiFlo1.hap1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/035/715/GCA_030035715.1_rRhiFlo1.hap1				1	Yes	NA	NA	NA	NA	NA	NA
GCA_030052795.1	16637381	648196	Pantherophis alleghaniensis (snakes)	Pantherophis alleghaniensis	PanAll1.0	GCA_030052795.1	reference genome		Scaffold	2023/05/19 00:00	haploid	153617	21817759	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/052/795/GCA_030052795.1_PanAll1.0/GCA_030052795.1_PanAll1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/052/795/GCA_030052795.1_PanAll1.0		1725044628	40.5	1	No	40.27	90.1	88.39999999999999	1.7	3.1	6.9
GCA_030412085.1	17413991	118683	Cyclura pinguis (lizards & snakes)	Cyclura pinguis	rCycPin1.hap2	GCA_030412085.1	na		Scaffold	2023/07/05 00:00	haploid (haplotype 2)	123360854		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/412/085/GCA_030412085.1_rCycPin1.hap2/GCA_030412085.1_rCycPin1.hap2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/412/085/GCA_030412085.1_rCycPin1.hap2				1	Yes	NA	NA	NA	NA	NA	NA
GCA_030412105.1	17425601	118683	Cyclura pinguis (lizards & snakes)	Cyclura pinguis	rCycPin1.hap1	GCA_030412105.1	reference genome		Chromosome	2023/07/07 00:00	haploid (haplotype 1)	112814430	291724653	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/412/105/GCA_030412105.1_rCycPin1.hap1/GCA_030412105.1_rCycPin1.hap1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/412/105/GCA_030412105.1_rCycPin1.hap1		1983631412	41.5	1	Yes	32.02	96.7	95.10000000000001	1.6	0.8	2.5
GCA_030440675.1	17542051	187939	Furcifer pardalis (lizards & snakes)	Furcifer pardalis	ASM3044067v1	GCA_030440675.1	reference genome		Chromosome	2023/07/12 00:00	haploid	158731830	184669281	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/440/675/GCA_030440675.1_ASM3044067v1/GCA_030440675.1_ASM3044067v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/440/675/GCA_030440675.1_ASM3044067v1		1609777135	42	1	Yes	41.56	95.5	94.4	1.1	1	3.5
GCA_030556195.1	17917661	2032994	Anolis apletophallus (lizards & snakes)	Anolis apletophallus	ASM3055619v1	GCA_030556195.1	reference genome		Scaffold	2023/07/31 00:00	haploid	658947	154613287	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/556/195/GCA_030556195.1_ASM3055619v1/GCA_030556195.1_ASM3055619v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/556/195/GCA_030556195.1_ASM3055619v1		2423005677	44	1	No	49.25	94.6	92.3	2.3	1.2	4.2
GCA_030761175.1	18143971	1651146	Masticophis lateralis (striped racer)	Masticophis lateralis	rMasLat1.0.hap2	GCA_030761175.1	reference genome		Scaffold	2023/08/16 00:00	haploid (haplotype 2)	68931034	214958471	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/761/175/GCA_030761175.1_rMasLat1.0.hap2/GCA_030761175.1_rMasLat1.0.hap2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/761/175/GCA_030761175.1_rMasLat1.0.hap2		1504000112	40.5	1	No	41.14	88.9	87.7	1.2	1	10.1
GCA_030761195.1	18143991	1651146	Masticophis lateralis (striped racer)	Masticophis lateralis	rMasLat1.0.hap1	GCA_030761195.1	na		Scaffold	2023/08/16 00:00	haploid (haplotype 1)	58217841		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/761/195/GCA_030761195.1_rMasLat1.0.hap1/GCA_030761195.1_rMasLat1.0.hap1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/761/195/GCA_030761195.1_rMasLat1.0.hap1				1	No	NA	NA	NA	NA	NA	NA
GCA_030847615.1	18188221	43593	Gambelia wislizenii (Longnose leopard lizard)	Gambelia wislizenii	rGamWis1.0.hap2	GCA_030847615.1	reference genome		Scaffold	2023/08/21 00:00	haploid (haplotype 2)	138191064	380060318	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/847/615/GCA_030847615.1_rGamWis1.0.hap2/GCA_030847615.1_rGamWis1.0.hap2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/847/615/GCA_030847615.1_rGamWis1.0.hap2		2466589883	42.5	1	No	41.62	96.5	94.9	1.6	0.9	2.6
GCA_030847625.1	18188231	43593	Gambelia wislizenii (Longnose leopard lizard)	Gambelia wislizenii	rGamWis1.0.hap1	GCA_030847625.1	na		Scaffold	2023/08/21 00:00	haploid (haplotype 1)	141377706		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/847/625/GCA_030847625.1_rGamWis1.0.hap1/GCA_030847625.1_rGamWis1.0.hap1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/847/625/GCA_030847625.1_rGamWis1.0.hap1				1	No	NA	NA	NA	NA	NA	NA
GCA_030867085.1	18211561	283338	Liasis olivaceus (snakes)	Liasis olivaceus	rLiaOli1.hap2	GCA_030867085.1	na		Chromosome	2023/08/24 00:00	haploid (haplotype 2)	74672673		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/867/085/GCA_030867085.1_rLiaOli1.hap2/GCA_030867085.1_rLiaOli1.hap2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/867/085/GCA_030867085.1_rLiaOli1.hap2				1	Yes	NA	NA	NA	NA	NA	NA
GCA_030867105.1	18211531	283338	Liasis olivaceus (snakes)	Liasis olivaceus	rLiaOli1.hap1	GCA_030867105.1	reference genome		Chromosome	2023/08/24 00:00	haploid (haplotype 1)	65226870	203662644	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/867/105/GCA_030867105.1_rLiaOli1.hap1/GCA_030867105.1_rLiaOli1.hap1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/867/105/GCA_030867105.1_rLiaOli1.hap1		1486119866	40	1	Yes	29.66	94.7	93.60000000000001	1.1	1.1	4.2
GCA_031001685.1	18310961	121349	Erythrolamprus reginae (royal ground snake)	Erythrolamprus reginae	rEryReg1.hap3	GCA_031001685.1	na		Contig	2023/08/30 00:00	haploid (haplotype 3)	1499913		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/001/685/GCA_031001685.1_rEryReg1.hap3/GCA_031001685.1_rEryReg1.hap3_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/001/685/GCA_031001685.1_rEryReg1.hap3				1	Yes	NA	NA	NA	NA	NA	NA
GCA_031001705.1	18313031	129332	Simalia tracyae (Halmahera python)	Simalia tracyae	ASM3100170v1	GCA_031001705.1	reference genome		Scaffold	2023/08/30 00:00	haploid	14047	67349691	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/001/705/GCA_031001705.1_ASM3100170v1/GCA_031001705.1_ASM3100170v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/001/705/GCA_031001705.1_ASM3100170v1		1468689395	39.5	1	No	23.44	86.9	86.2	0.7	5.4	7.7
GCA_031021085.1	18324251	121349	Erythrolamprus reginae (royal ground snake)	Erythrolamprus reginae	rEryReg1.hap2	GCA_031021085.1	na		Contig	2023/08/30 00:00	haploid (haplotype 2)	4297867		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/021/085/GCA_031021085.1_rEryReg1.hap2/GCA_031021085.1_rEryReg1.hap2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/021/085/GCA_031021085.1_rEryReg1.hap2				1	Yes	NA	NA	NA	NA	NA	NA
GCA_032467955.1	19100561	1082482	Pseudoxenodon macrops (snakes)	Pseudoxenodon macrops	ASM3246795v1	GCA_032467955.1	reference genome		Scaffold	2023/10/10 00:00	haploid	5955	113982	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/467/955/GCA_032467955.1_ASM3246795v1/GCA_032467955.1_ASM3246795v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/467/955/GCA_032467955.1_ASM3246795v1		1354374879	40	1	No	34.16	66.9	66.2	0.7	13.5	19.6
GCA_032467975.1	19100571	8765	Trimeresurus albolabris (white-lipped tree viper)	Trimeresurus albolabris	ASM3246797v1	GCA_032467975.1	reference genome		Scaffold	2023/10/10 00:00	haploid	4725	113187	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/467/975/GCA_032467975.1_ASM3246797v1/GCA_032467975.1_ASM3246797v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/467/975/GCA_032467975.1_ASM3246797v1		1232530381	39	1	No	30.74	67.9	67.30000000000001	0.6	12.5	19.6
GCA_032468015.1	19100591	143666	Mimophis mahfalensis (snakes)	Mimophis mahfalensis	ASM3246801v1	GCA_032468015.1	reference genome		Scaffold	2023/10/10 00:00	haploid	3427	46823	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/015/GCA_032468015.1_ASM3246801v1/GCA_032468015.1_ASM3246801v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/015/GCA_032468015.1_ASM3246801v1		1477391700	41	1	No	36.27	66.5	65.8	0.7	13.4	20.2
GCA_032468035.1	19100601	46264	Aparallactus werneri (snakes)	Aparallactus werneri	ASM3246803v1	GCA_032468035.1	reference genome		Scaffold	2023/10/10 00:00	haploid	2672	40515	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/035/GCA_032468035.1_ASM3246803v1/GCA_032468035.1_ASM3246803v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/035/GCA_032468035.1_ASM3246803v1		1290508616	40	1	No	34.29	59.1	58.5	0.6	13.9	27
GCA_032468055.1	19100611	46287	Acrochordus granulatus (little file snake)	Acrochordus granulatus	ASM3246805v1	GCA_032468055.1	reference genome		Scaffold	2023/10/10 00:00	haploid	7023	156840	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/055/GCA_032468055.1_ASM3246805v1/GCA_032468055.1_ASM3246805v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/055/GCA_032468055.1_ASM3246805v1		1324550020	38	1	No	28.99	80.8	80	0.8	8.5	10.7
GCA_032468095.1	19100621	211648	Pareas carinatus (Keeled slug snake)	Pareas carinatus	ASM3246809v1	GCA_032468095.1	reference genome		Scaffold	2023/10/10 00:00	haploid	5229	92338	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/095/GCA_032468095.1_ASM3246809v1/GCA_032468095.1_ASM3246809v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/095/GCA_032468095.1_ASM3246809v1		1440111001	40	1	No	33.22	67	66.4	0.6	13.8	19.2
GCA_032468115.1	19100631	292832	Grayia smithii (Smith's African water snake)	Grayia smithii	ASM3246811v1	GCA_032468115.1	reference genome		Scaffold	2023/10/10 00:00	haploid	4398	93166	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/115/GCA_032468115.1_ASM3246811v1/GCA_032468115.1_ASM3246811v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/115/GCA_032468115.1_ASM3246811v1		1424957665	40	1	No	34.84	65.1	64.39999999999999	0.7	13	21.9
GCA_032468135.1	19100641	2905135	Calamaria suluensis (snakes)	Calamaria suluensis	ASM3246813v1	GCA_032468135.1	reference genome		Scaffold	2023/10/10 00:00	haploid	3488	37019	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/135/GCA_032468135.1_ASM3246813v1/GCA_032468135.1_ASM3246813v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/135/GCA_032468135.1_ASM3246813v1		1266431896	40	1	No	34.64	57	56.4	0.6	14.3	28.8
GCA_032468155.1	19100651	186594	Oxyrhabdium leporinum (snakes)	Oxyrhabdium leporinum	ASM3246815v1	GCA_032468155.1	reference genome		Scaffold	2023/10/10 00:00	haploid	8427	137739	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/155/GCA_032468155.1_ASM3246815v1/GCA_032468155.1_ASM3246815v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/155/GCA_032468155.1_ASM3246815v1		1266969297	39.5	1	No	30.12	73.4	72.60000000000001	0.8	11.5	15.1
GCA_032468175.1	19100661	2725382	Toxicocalamus goodenoughensis (snakes)	Toxicocalamus goodenoughensis	ASM3246817v1	GCA_032468175.1	reference genome		Scaffold	2023/10/10 00:00	haploid	6052	110765	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/175/GCA_032468175.1_ASM3246817v1/GCA_032468175.1_ASM3246817v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/175/GCA_032468175.1_ASM3246817v1		1296406934	39	1	No	31.93	69.5	68.9	0.6	12.8	17.7
GCA_032468195.1	19100681	46267	Cerberus rynchops (snakes)	Cerberus rynchops	ASM3246819v1	GCA_032468195.1	reference genome		Scaffold	2023/10/10 00:00	haploid	3368	72084	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/195/GCA_032468195.1_ASM3246819v1/GCA_032468195.1_ASM3246819v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/195/GCA_032468195.1_ASM3246819v1		1263809361	39	1	No	30.58	62.2	61.400000000000006	0.8	13.5	24.3
GCA_032468215.1	19100701	2200754	Stegonotus admiraltiensis (snakes)	Stegonotus admiraltiensis	ASM3246821v1	GCA_032468215.1	reference genome		Scaffold	2023/10/10 00:00	haploid	4085	79980	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/215/GCA_032468215.1_ASM3246821v1/GCA_032468215.1_ASM3246821v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/215/GCA_032468215.1_ASM3246821v1		1532827728	40.5	1	No	37.41	71.7	70.7	1	11.3	17
GCA_032468235.1	19100691	1175435	Pseudoxyrhopus heterurus (snakes)	Pseudoxyrhopus heterurus	ASM3246823v1	GCA_032468235.1	reference genome		Scaffold	2023/10/10 00:00	haploid	4098	103616	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/235/GCA_032468235.1_ASM3246823v1/GCA_032468235.1_ASM3246823v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/468/235/GCA_032468235.1_ASM3246823v1		1267882189	39.5	1	No	31.15	65.6	65	0.6	13.4	21
GCA_032766555.1	19248601	254669	Darevskia unisexualis (lizards & snakes)	Darevskia unisexualis	D.uni.pHiFi.1.0	GCA_032766555.1	na		Contig	2023/10/17 00:00	haploid (paternal haplotype of diploid)	15093826		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/766/555/GCA_032766555.1_D.uni.pHiFi.1.0/GCA_032766555.1_D.uni.pHiFi.1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/766/555/GCA_032766555.1_D.uni.pHiFi.1.0				1	No	NA	NA	NA	NA	NA	NA
GCA_032766585.1	19248591	254669	Darevskia unisexualis (lizards & snakes)	Darevskia unisexualis	D.uni.mHiFi.1.0	GCA_032766585.1	reference genome		Contig	2023/10/17 00:00	haploid (maternal haplotype of diploid)	27396532	NA	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/766/585/GCA_032766585.1_D.uni.mHiFi.1.0/GCA_032766585.1_D.uni.mHiFi.1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/766/585/GCA_032766585.1_D.uni.mHiFi.1.0		1398207223	44	1	No	35.45	95.9	93.7	2.2	0.7	3.4
GCA_033807585.1	19829291	355693	Hydrophis major (olive-headed seasnake)	Hydrophis major	HMAJ_1.0	GCA_033807585.1	reference genome		Chromosome	2023/11/21 00:00	haploid	35743180	268276564	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/807/585/GCA_033807585.1_HMAJ_1.0/GCA_033807585.1_HMAJ_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/807/585/GCA_033807585.1_HMAJ_1.0		2166703382	40.5	1	Yes	54.62	92.5	90.9	1.6	1.3	6.2
GCA_033807725.1	19807611	355681	Hydrophis elegans (elegant seasnake)	Hydrophis elegans	HELE_1.0	GCA_033807725.1	reference genome		Scaffold	2023/11/20 00:00	haploid	17470302	17836126	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/807/725/GCA_033807725.1_HELE_1.0/GCA_033807725.1_HELE_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/807/725/GCA_033807725.1_HELE_1.0		2010336133	40.5	1	No	51.87	92.3	90.89999999999999	1.4	1.2	6.6
GCA_034064705.1	19934031	64174	Bothrops alternatus (urutu)	Bothrops alternatus	ASM3406470v1	GCA_034064705.1	reference genome		Contig	2023/12/04 00:00	haploid	13867869	NA	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/064/705/GCA_034064705.1_ASM3406470v1/GCA_034064705.1_ASM3406470v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/064/705/GCA_034064705.1_ASM3406470v1		1739305912	40.5	1	No	45.53	93.2	84.9	8.3	1.1	5.7
GCA_034509955.1	20288361	3148767	Urosaurus nigricauda (lizards & snakes)	Urosaurus nigricauda	ASU_Unig_1	GCA_034509955.1	reference genome		Scaffold	2023/12/21 00:00	haploid	23281897	279651831	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/955/GCA_034509955.1_ASU_Unig_1/GCA_034509955.1_ASU_Unig_1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/955/GCA_034509955.1_ASU_Unig_1		1870054407	41	1	No	36.89	96.3	94.39999999999999	1.9	0.8	2.8
GCA_034641385.1	20354381	122392	Darevskia mixta (lizards & snakes)	Darevskia mixta	Dar_mix_1.0	GCA_034641385.1	reference genome		Contig	2023/12/26 00:00	haploid	15581688	NA	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/641/385/GCA_034641385.1_Dar_mix_1.0/GCA_034641385.1_Dar_mix_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/641/385/GCA_034641385.1_Dar_mix_1.0		1408516084	44	1	No	35.34	97.1	93.39999999999999	3.7	0.7	2.2
GCA_034641395.1	20354391	307438	Darevskia armeniaca (lizards & snakes)	Darevskia armeniaca	Dar_arm_1.0	GCA_034641395.1	reference genome		Contig	2023/12/26 00:00	haploid	3089098	NA	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/641/395/GCA_034641395.1_Dar_arm_1.0/GCA_034641395.1_Dar_arm_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/641/395/GCA_034641395.1_Dar_arm_1.0		1925748154	43.5	1	No	34.12	96.9	57.50000000000001	39.4	0.6	2.5
GCA_034642065.1	20354491	307440	Darevskia nairensis (lizards & snakes)	Darevskia nairensis	Dar_nair_1.0	GCA_034642065.1	reference genome		Contig	2023/12/26 00:00	haploid	2900118	NA	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/065/GCA_034642065.1_Dar_nair_1.0/GCA_034642065.1_Dar_nair_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/065/GCA_034642065.1_Dar_nair_1.0		1772584127	44.5	1	No	37.36	96.8	75	21.8	0.6	2.6
GCA_034642135.1	20354501	122353	Darevskia valentini (lizards & snakes)	Darevskia valentini	Dar_val_2.0	GCA_034642135.1	reference genome		Contig	2023/12/26 00:00	haploid	1103363	NA	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/135/GCA_034642135.1_Dar_val_2.0/GCA_034642135.1_Dar_val_2.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/135/GCA_034642135.1_Dar_val_2.0		1647904108	44	2	No	35.6	96.3	80.1	16.2	1	2.6
GCA_034642415.1	20357331	65484	Podarcis siculus (Italian wall lizard)	Podarcis siculus	UCBerk_Psic_1	GCA_034642415.1	na		Scaffold	2023/12/26 00:00	haploid	70246		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/415/GCA_034642415.1_UCBerk_Psic_1/GCA_034642415.1_UCBerk_Psic_1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/415/GCA_034642415.1_UCBerk_Psic_1				2	Yes	NA	NA	NA	NA	NA	NA
GCA_035046495.1	20576121	71010	Tiliqua scincoides (lizards & snakes)	Tiliqua scincoides	rTilSci1.hap1	GCA_035046495.1	na		Chromosome	2024/01/04 00:00	haploid (haplotype 1)	38979350		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/046/495/GCA_035046495.1_rTilSci1.hap1/GCA_035046495.1_rTilSci1.hap1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/046/495/GCA_035046495.1_rTilSci1.hap1				2	Yes	NA	NA	NA	NA	NA	NA
GCA_035047305.1	20555961	179887	Bradypodion pumilum (lizards & snakes)	Bradypodion pumilum	BraPum1.0	GCA_035047305.1	reference genome		Scaffold	2024/01/03 00:00	haploid	178505980	389612775	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/047/305/GCA_035047305.1_BraPum1.0/GCA_035047305.1_BraPum1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/047/305/GCA_035047305.1_BraPum1.0		2486266449	45	2	Yes	56.3	95.5	94.3	1.2	0.7	3.8
GCA_035047345.1	20556031	179890	Bradypodion ventrale (Southern dwarf chameleon)	Bradypodion ventrale	BraVen1.1	GCA_035047345.1	reference genome		Scaffold	2024/01/03 00:00	haploid	174922266	374919295	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/047/345/GCA_035047345.1_BraVen1.1/GCA_035047345.1_BraVen1.1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/047/345/GCA_035047345.1_BraVen1.1		2373187502	44.5	1	No	53.89	95.5	93.8	1.7	0.8	3.7
GCA_035125265.1	20597501	51853	Candoia aspera (snakes)	Candoia aspera	rCanAsp1.hap1	GCA_035125265.1	na		Scaffold	2024/01/05 00:00	haploid (haplotype 1)	49525232		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/125/265/GCA_035125265.1_rCanAsp1.hap1/GCA_035125265.1_rCanAsp1.hap1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/125/265/GCA_035125265.1_rCanAsp1.hap1				1	Yes	NA	NA	NA	NA	NA	NA
